GSM5464159	GSM5464160	GSM5464161	GSM5464162	GSM5464163	GSM5464164	GSM5464165	GSM5464166
WASH7P	485	342	460	407	369	350	474	407
MIR6859-1	8	4	13	17	8	7	17	14
LOC100996442	41	39	62	70	68	46	72	63
LOC729737	209	128	248	225	206	184	257	252
WASH9P	567	381	597	487	462	446	602	545
MIR6859-2	5	4	17	13	4	4	11	18
LOC112268260	25	11	34	37	26	14	35	26
LOC100132287	882	651	1197	1068	839	778	1165	1142
MIR12136	189	132	373	312	227	182	538	423
OR4F16	18	10	21	30	14	12	29	38
LOC100288069	173	120	146	188	142	135	160	133
LINC01409	29	13	26	20	18	14	19	20
LINC00115	40	33	72	76	29	26	66	99
LINC01128	1071	890	1216	1048	977	924	1093	1002
LOC284600	137	93	99	103	128	142	146	130
LINC02593	128	89	67	87	135	70	146	98
LOC107985728	241	185	115	135	186	209	169	177
SAMD11	781	606	488	528	723	702	702	544
NOC2L	7407	5972	5782	5512	6420	5923	5620	5381
KLHL17	1474	1181	1267	1210	1410	1288	1618	1508
AGRN	248	197	245	201	147	164	212	216
C1orf159	733	562	738	657	717	686	651	617
SDF4	3505	2634	2816	2589	2727	2584	2690	2749
B3GALT6	451	417	349	332	322	308	362	412
UBE2J2	2115	1535	1770	1652	1943	1685	1599	1533
LINC01786	46	34	30	25	53	41	46	43
SCNN1D	75	65	58	51	113	97	108	116
ACAP3	2763	2200	2758	2669	3293	3212	3742	3901
SNORD167	15	21	22	27	27	21	60	31
PUSL1	602	390	427	473	549	513	515	511
INTS11	2738	2062	2438	2317	2427	2365	2439	2386
MIR6727	20	12	11	17	11	13	8	15
CPTP	302	224	240	313	261	265	277	319
TAS1R3	25	10	12	19	20	28	25	21
DVL1	2739	2217	2427	2347	2556	2489	2772	2754
MXRA8	4818	3741	5175	5048	2859	2759	4461	4164
AURKAIP1	2457	1927	2076	2039	2315	2285	1926	1803
CCNL2	6027	5484	9304	8804	7440	6674	11797	11148
MRPL20-AS1	527	470	520	495	542	494	603	568
MRPL20	1002	831	1030	921	873	738	817	772
ANKRD65	43	40	83	66	52	37	107	99
ANKRD65-AS1	15	9	7	4	19	10	25	16
TMEM88B	20	19	34	35	34	50	30	69
VWA1	675	441	579	608	529	521	698	661
ATAD3C	38	35	36	48	45	27	65	48
ATAD3B	1685	1397	1637	1615	1608	1574	1434	1367
ATAD3A	3039	2345	2566	2519	2513	2434	2218	2134
TMEM240	38	39	44	53	66	51	64	67
SSU72	3511	2473	2759	2573	2666	2424	2369	2366
FNDC10	304	174	171	183	271	293	226	233
LOC105378586	52	29	22	21	44	43	31	33
MIB2	477	407	514	438	450	470	687	697
MMP23B	60	51	59	52	52	48	45	49
CDK11B	2379	1955	2172	2083	2249	2027	1994	1834
SLC35E2B	5344	4303	5198	4909	4574	4187	5137	4902
CDK11A	944	771	973	926	956	807	1000	910
SLC35E2A	2063	1812	2627	2432	1941	1683	2828	2541
LOC112268218	200	165	148	185	197	194	172	190
NADK	2730	2015	2385	2249	2502	2370	2545	2433
GNB1	16855	13429	13848	12842	14184	12710	12220	11443
GNB1-DT	18	18	25	23	20	29	18	29
PRKCZ	14	9	6	8	12	9	17	14
FAAP20	860	534	596	532	669	668	624	648
